年月,メーカー,件数,登録台数
2023-10,ＳＵＢＡＲＵ,18,8810.0
2023-11,スズキ,1215,9010.0
2023-11,ダイハツ,1106,1947.0
2023-11,トヨタ,536,134529.0
2023-11,ホンダ,508,29717.0
2023-11,マツダ,83,9883.0
2023-11,三菱,43,3223.0
2023-11,日産,161,21512.0
2023-11,輸入車,36,25233.0
2023-11,ＳＵＢＡＲＵ,16,9253.0
2023-12,スズキ,664,8529.0
2023-12,ダイハツ,472,1785.0
2023-12,トヨタ,323,110303.0
2023-12,ホンダ,330,25985.0
2023-12,マツダ,56,8275.0
2023-12,三菱,23,3055.0
2023-12,日産,149,18313.0
2023-12,輸入車,46,33386.0
2023-12,ＳＵＢＡＲＵ,9,9729.0
2024-01,スズキ,1094,10889.0
2024-01,ダイハツ,416,873.0
2024-01,トヨタ,385,109375.0
2024-01,ホンダ,422,27864.0
2024-01,マツダ,68,6968.0
2024-01,三菱,31,2817.0
2024-01,日産,220,22524.0
2024-01,輸入車,34,18319.0
2024-01,ＳＵＢＡＲＵ,2,8117.0
2024-02,スズキ,1556,12267.0
2024-02,ダイハツ,302,401.0
2024-02,トヨタ,423,102223.0
2024-02,ホンダ,386,31966.0
2024-02,マツダ,69,7838.0
2024-02,三菱,43,3582.0
2024-02,日産,221,25858.0
2024-02,輸入車,41,23878.0
2024-02,ＳＵＢＡＲＵ,11,7035.0
2024-03,スズキ,2067,16332.0
2024-03,ダイハツ,312,317.0
2024-03,トヨタ,527,131784.0
2024-03,ホンダ,581,41136.0
2024-03,マツダ,110,10000.0
2024-03,三菱,88,5152.0
2024-03,日産,386,34133.0
2024-03,輸入車,79,37827.0
2024-03,ＳＵＢＡＲＵ,5,10022.0
2024-04,スズキ,1231,10214.0
2024-04,ダイハツ,210,296.0
2024-04,トヨタ,373,106464.0
2024-04,ホンダ,336,26559.0
2024-04,マツダ,58,6839.0
2024-04,三菱,54,2175.0
2024-04,日産,181,17884.0
2024-04,輸入車,54,20555.0
2024-04,ＳＵＢＡＲＵ,8,5824.0
2024-05,スズキ,1367,9284.0
2024-05,ダイハツ,366,630.0
2024-05,トヨタ,409,100469.0
2024-05,ホンダ,402,23543.0
2024-05,マツダ,70,6509.0
2024-05,三菱,45,2499.0
2024-05,日産,159,17477.0
2024-05,輸入車,27,24114.0
2024-05,ＳＵＢＡＲＵ,2,6492.0
2024-06,スズキ,1507,10183.0
2024-06,ダイハツ,488,1294.0
2024-06,トヨタ,438,118929.0
2024-06,ホンダ,399,30639.0
2024-06,マツダ,83,5818.0
2024-06,三菱,37,3058.0
2024-06,日産,212,21175.0
2024-06,輸入車,60,29801.0
2024-06,ＳＵＢＡＲＵ,8,7375.0
2024-07,スズキ,1611,10558.0
2024-07,ダイハツ,653,1395.0
2024-07,トヨタ,434,137510.0
2024-07,ホンダ,562,30865.0
2024-07,マツダ,97,7695.0
2024-07,三菱,48,3694.0
2024-07,日産,225,24257.0
2024-07,輸入車,28,24860.0
2024-07,ＳＵＢＡＲＵ,6,8820.0
2024-08,スズキ,1272,8090.0
2024-08,ダイハツ,762,1833.0
2024-08,トヨタ,374,106623.0
2024-08,ホンダ,324,21952.0
2024-08,マツダ,56,6723.0
2024-08,三菱,34,2897.0
2024-08,日産,280,18727.0
2024-08,輸入車,40,22953.0
2024-08,ＳＵＢＡＲＵ,13,6690.0
2024-09,スズキ,1640,10815.0
2024-09,ダイハツ,928,2919.0
2024-09,トヨタ,461,130717.0
2024-09,ホンダ,557,30518.0
2024-09,マツダ,126,9425.0
2024-09,三菱,51,3748.0
2024-09,日産,291,27722.0
2024-09,輸入車,86,33080.0
2024-09,ＳＵＢＡＲＵ,16,9390.0
2024-10,スズキ,1775,9230.0
2024-10,ダイハツ,944,2854.0
2024-10,トヨタ,463,139765.0
2024-10,ホンダ,576,24553.0
2024-10,マツダ,91,10527.0
2024-10,三菱,65,3242.0
2024-10,日産,237,21432.0
2024-10,輸入車,64,27141.0
2024-10,ＳＵＢＡＲＵ,6,7616.0
2024-11,スズキ,1952,10194.0
2024-11,ダイハツ,881,1466.0
