DATE,PX_LAST,YLD_YTM_MYLD,YTM_BID
2019/03/06,-0.157,-0.1572,-0.1554
2019/03/07,-0.156,-0.1559,-0.1546
2019/03/08,-0.138,-0.1376,-0.1308
2019/03/11,-0.134,-0.1336,-0.1291
2019/03/12,-0.134,-0.1339,-0.1294
2019/03/13,-0.134,-0.134,-0.1306
2019/03/14,-0.144,-0.1436,-0.1401
2019/03/15,-0.149,-0.1492,-0.1102
2019/03/18,-0.155,-0.1548,-0.1085
2019/03/19,-0.165,-0.1646,-0.1183
2019/03/20,-0.182,-0.1818,-0.1394
2019/03/22,-0.172,-0.1724,-0.1259
2019/03/25,-0.181,-0.1805,-0.1339
2019/03/26,-0.18,-0.1801,-0.1336
2019/03/27,-0.18,-0.1797,-0.1331
2019/03/28,-0.181,-0.1809,-0.1344
2019/03/29,-0.173,-0.1728,-0.133
2019/04/01,-0.17,-0.1698,-0.1188
2019/04/02,-0.17,-0.1701,-0.1192
2019/04/03,-0.159,-0.1593,-0.1067
2019/04/04,-0.131,-0.1311,-0.1078
2019/04/05,-0.15,-0.1497,-0.0968
2019/04/08,-0.167,-0.1674,-0.1147
2019/04/09,-0.177,-0.1773,-0.1247
2019/04/10,-0.186,-0.1855,-0.1345
2019/04/11,-0.194,-0.1938,-0.1429
2019/04/12,-0.196,-0.1955,-0.143
2019/04/15,-0.219,-0.2185,-0.1719
2019/04/16,-0.192,-0.1923,-0.1822
2019/04/17,-0.185,-0.185,-0.1793
2019/04/18,-0.183,-0.1834,-0.1776
2019/04/19,-0.177,-0.177,-0.1712
2019/04/22,-0.149,-0.1494,-0.1113
2019/04/23,-0.163,-0.1627,-0.1155
2019/04/24,-0.173,-0.1728,-0.134
2019/04/25,-0.17,-0.1698,-0.1225
2019/04/26,-0.177,-0.1769,-0.1439
2019/05/07,-0.176,-0.1755,-0.1409
2019/05/08,-0.169,-0.1685,-0.1304
2019/05/09,-0.129,-0.1293,-0.1005
2019/05/10,-0.167,-0.1668,-0.1195
2019/05/13,-0.159,-0.1593,-0.1536
2019/05/14,-0.163,-0.1629,-0.1572
2019/05/15,-0.163,-0.1633,-0.1576
2019/05/16,-0.162,-0.1619,-0.1561
2019/05/17,-0.158,-0.1583,-0.1525
2019/05/20,-0.151,-0.1514,-0.1396
2019/05/21,-0.153,-0.1532,-0.1431
2019/05/22,-0.157,-0.157,-0.1451
2019/05/23,-0.159,-0.1585,-0.1466
2019/05/24,-0.162,-0.1623,-0.1504
2019/05/27,-0.154,-0.1538,-0.0945
2019/05/28,-0.157,-0.1565,-0.0973
2019/05/29,-0.161,-0.1609,-0.1016
2019/05/30,-0.165,-0.1652,-0.1059
2019/05/31,-0.16,-0.1598,-0.1006
2019/06/03,-0.158,-0.1583,-0.0991
2019/06/04,-0.157,-0.157,-0.0978
2019/06/05,-0.159,-0.1585,-0.0991
2019/06/06,-0.157,-0.1569,-0.0975
2019/06/07,-0.145,-0.1453,-0.086
2019/06/10,-0.15,-0.1498,-0.0904
2019/06/11,-0.148,-0.1477,-0.0902
2019/06/12,-0.148,-0.1481,-0.0906
2019/06/13,-0.148,-0.1475,-0.0899
2019/06/14,-0.145,-0.1452,-0.0877
2019/06/17,-0.141,-0.1413,-0.0839
2019/06/18,-0.14,-0.1397,-0.0824
2019/06/19,-0.14,-0.1402,-0.0828
2019/06/20,-0.142,-0.1415,-0.0839
2019/06/21,-0.135,-0.1353,-0.0778
2019/06/24,-0.134,-0.1343,-0.0773
2019/06/25,-0.136,-0.1362,-0.0793
2019/06/26,-0.136,-0.1364,-0.0795
2019/06/27,-0.132,-0.1316,-0.074
2019/06/28,-0.126,-0.1255,-0.0773
2019/07/01,-0.113,-0.1125,-0.0554
2019/07/02,-0.115,-0.1152,-0.0577
2019/07/03,-0.115,-0.1154,-0.0578
2019/07/04,-0.113,-0.1126,-0.0555
2019/07/05,-0.113,-0.1133,-0.0562
2019/07/08,-0.144,-0.1438,-0.0867
2019/07/09,-0.145,-0.1447,-0.0871
2019/07/10,-0.146,-0.1458,-0.0886
2019/07/11,-0.151,-0.1511,-0.0941
2019/07/12,-0.156,-0.1557,-0.0984
2019/07/16,-0.147,-0.1465,-0.1065
2019/07/17,-0.145,-0.1448,-0.1048
2019/07/18,-0.145,-0.1448,-0.1036
2019/07/19,-0.138,-0.1376,-0.0964
2019/07/22,-0.134,-0.1339,-0.0939
2019/07/23,-0.137,-0.1366,-0.1263
2019/07/24,-0.121,-0.1205,-0.0957
2019/07/25,-0.123,-0.1233,-0.0962
2019/07/26,-0.12,-0.1199,-0.0926
2019/07/29,-0.124,-0.1241,-0.0733
2019/07/30,-0.124,-0.1239,-0.073
