,MKT_RF,SMB,HML,RF_US,JPY_USD,JPY_YIELD,FX_RETURN,JPY_YIELD_MONTHLY,MARKET_RETURN,MARKET_RETURN_FX_ADJUSTED,MKT_RF_JPY,SMB_JPY,HML_JPY,RF_JPY,TOPIX_RETURN
2016-09-30,-0.0024,-0.0039,0.0015,1e-05,100.9,-0.0025169999999999,-0.0230441518202942,-0.0002099923626718,-0.0023899999999999,-0.0023349244771494,-0.0021249321144776,-0.0038101278079008,0.0014654337722695,-0.0002099923626718,-0.005084472499520709
2016-09-30,0.0088,0.0038,0.0034999999999999,1e-05,100.9,-0.003788,0.0,-0.0003162160466272,0.00881,0.00881,0.0091262160466272,0.0038,0.0034999999999999,-0.0003162160466272,-0.005084472499520709
2016-10-31,0.0088,0.0038,0.0034999999999999,1e-05,104.92,-0.003788,0.0398414271555995,-0.0003162160466272,0.00881,0.0091610029732408,0.009477219019868,0.0039513974231912,0.0036394449950445,-0.0003162160466272,0.053100280227023955
2016-10-31,0.0002,0.0007,0.0009,1e-05,104.92,-0.003267,0.0,-0.0002726585132649,0.00021,0.00021,0.0004826585132649,0.0007,0.0009,-0.0002726585132649,0.053100280227023955
2016-11-30,0.0002,0.0007,0.0009,1e-05,112.73,-0.003267,0.0744376667937476,-0.0002726585132649,0.00021,0.0002256319100266,0.0004982904232916,0.0007521063667556,0.0009669939001143,-0.0002726585132649,0.054852071835550076
2016-11-30,-0.0025,-0.0038,0.022,1e-05,112.73,-0.003659,0.0,-0.0003054292232187,-0.00249,-0.00249,-0.0021845707767812,-0.0038,0.022,-0.0003054292232187,0.054852071835550076
2016-12-31,-0.0025,-0.0038,0.022,1e-05,117.11,-0.003659,0.0388538986959992,-0.0003054292232187,-0.00249,-0.002586746207753,-0.0022813169845342,-0.0039476448150447,0.0228547857713119,-0.0003054292232187,0.033468712251001564
2016-12-31,-0.0052,-0.0011,0.0021,1e-05,117.11,-0.004196,0.0,-0.0003503409422135,-0.00519,-0.00519,-0.0048396590577864,-0.0011,0.0021,-0.0003503409422135,0.033468712251001564
2017-01-31,-0.0052,-0.0011,0.0021,1e-05,113.53,-0.004196,-0.0305695499957304,-0.0003503409422135,-0.00519,-0.0050313440355221,-0.0046810030933086,-0.0010663734950046,0.0020358039450089,-0.0003503409422135,0.0020150391629629727
2017-01-31,0.0,0.0087,-0.0055,2e-05,113.53,-0.002786,0.0,-0.0002324636529049,2e-05,2e-05,0.0002524636529049,0.0087,-0.0055,-0.0002324636529049,0.0020150391629629727
2017-02-28,0.0,0.0087,-0.0055,2e-05,112.31,-0.002786,-0.0107460583105787,-0.0002324636529049,2e-05,1.9785078833788423e-05,0.0002522487317387,0.0086065092926979,-0.0054408966792918,-0.0002324636529049,0.008970343076715404
2017-02-28,-0.0042,-0.0137,0.0014,2e-05,112.31,-0.002846,0.0,-0.0002374765944993,-0.00418,-0.00418,-0.0039425234055006,-0.0137,0.0014,-0.0002374765944993,0.008970343076715404
2017-03-31,-0.0042,-0.0137,0.0014,2e-05,111.8,-0.002846,-0.0045410025821387,-0.0002374765944993,-0.00418,-0.0041610186092066,-0.0039235420147073,-0.0136377882646247,0.001393642596385,-0.0002374765944993,-0.01479819939683591
2017-03-31,-0.0016,0.0058,-0.0032,1e-05,111.8,-0.001953,0.0,-0.0001628958636271,-0.00159,-0.00159,-0.0014271041363728,0.0058,-0.0032,-0.0001628958636271,-0.01479819939683591
2017-04-30,-0.0016,0.0058,-0.0032,1e-05,111.29,-0.001953,-0.0045617173524149,-0.0001628958636271,-0.00159,-0.0015827468694096,-0.0014198510057824,0.0057735420393559,-0.0031854025044722,-0.0001628958636271,0.012693424270848519
2017-04-30,-0.003,-0.0069999999999999,-0.006,3e-05,111.29,-0.001763,0.0,-0.0001470355153426,-0.00297,-0.00297,-0.0028229644846573,-0.0069999999999999,-0.006,-0.0001470355153426,0.012693424270848519
2017-05-31,-0.003,-0.0069999999999999,-0.006,3e-05,110.96,-0.001763,-0.0029652259861624,-0.0001470355153426,-0.00297,-0.002961193278821,-0.0028141577634784,-0.0069792434180968,-0.005982208644083,-0.0001470355153426,0.023873838048927842
2017-05-31,-0.0002,0.0004,-0.0053,3e-05,110.96,-0.0012929999999999,0.0,-0.0001078139081434,-0.00017,-0.00017,-6.218609185659404e-05,0.0004,-0.0053,-0.0001078139081434,0.023873838048927842
2017-06-30,-0.0002,0.0004,-0.0053,3e-05,112.06,-0.0012929999999999,0.0099134823359769,-0.0001078139081434,-0.00017,-0.0001716852919971,-6.387138385371014e-05,0.0004039653929343,-0.0053525414563806,-0.0001078139081434,0.02775494904416509
2017-06-30,0.0014,-0.0009,-0.003,3e-05,112.06,-0.0009229999999999,0.0,-7.694922482248678e-05,0.00143,0.00143,0.0015069492248224,-0.0009,-0.003,-7.694922482248678e-05,0.02775494904416509
2017-07-31,0.0014,-0.0009,-0.003,3e-05,110.63,-0.0009229999999999,-0.0127610208816706,-7.694922482248678e-05,0.00143,0.0014117517401392,0.0014887009649616,-0.0008885150812064,-0.0029617169373549,-7.694922482248678e-05,0.004162764958043352
2017-07-31,-0.0011,-0.0034999999999999,0.0046,4e-05,110.63,-0.001287,0.0,-0.0001073133161615,-0.00106,-0.00106,-0.0009526866838384,-0.0034999999999999,0.0046,-0.0001073133161615,0.004162764958043352
2017-08-31,-0.0011,-0.0034999999999999,0.0046,4e-05,110.49,-0.001287,-0.0012654795263491,-0.0001073133161615,-0.00106,-0.001058658591702,-0.0009513452755405,-0.0034955708216577,0.0045941787941787,-0.0001073133161615,-0.0007413467004000474
2017-08-31,0.0062,0.0049,-0.0043,4e-05,110.49,-0.002029,0.0,-0.0001692407779219,0.00624,0.00624,0.0064092407779219,0.0049,-0.0043,-0.0001692407779219,-0.0007413467004000474
2017-09-30,0.0062,0.0049,-0.0043,4e-05,112.46,-0.002029,0.0178296678432436,-0.0001692407779219,0.00624,0.0063512571273418,0.0065204979052637,0.0049873653724318,-0.0043766675717259,-0.0001692407779219,0.03545171886447096
2017-09-30,0.0034999999999999,-0.0014,-0.0026,5e-05,112.46,-0.00218,0.0,-0.0001818484351574,0.0035499999999999,0.0035499999999999,0.0037318484351574,-0.0014,-0.0026,-0.0001818484351574,0.03545171886447096
2017-10-31,0.0034999999999999,-0.0014,-0.0026,5e-05,113.09,-0.00218,0.0056019918193135,-0.0001818484351574,0.0035499999999999,0.0035698870709585,0.003751735506116,-0.001407842788547,-0.0026145651787302,-0.0001818484351574,0.05446183665472448
2017-10-31,0.0023,0.0084,-0.0025,4e-05,113.09,-0.001998,0.0,-0.0001666526672899,0.00234,0.00234,0.0025066526672899,0.0084,-0.0025,-0.0001666526672899,0.05446183665472448
2017-11-30,0.0023,0.0084,-0.0025,4e-05,112.29,-0.001998,-0.0070740118489698,-0.0001666526672899,0.00234,0.0023234468122734,0.0024900994795634,0.0083405783004686,-0.0024823149703775,-0.0001666526672899,0.014790819551379286
2017-11-30,0.0083,-0.0056,-0.0052,4e-05,112.29,-0.0016719999999999,0.0,-0.0001394402233105,0.00834,0.00834,0.0084794402233105,-0.0056,-0.0052,-0.0001394402233105,0.014790819551379286
2017-12-31,0.0083,-0.0056,-0.0052,4e-05,112.65,-0.0016719999999999,0.0032059845044081,-0.0001394402233105,0.00834,0.0083667379107667,0.0085061781340773,-0.0056179535132246,-0.0052166711194229,-0.0001394402233105,0.014218172829273623
2017-12-31,-0.0056999999999999,-0.0031,0.0001,4e-05,112.65,-0.001563,0.0,-0.0001303434011257,-0.0056599999999999,-0.0056599999999999,-0.0055296565988742,-0.0031,0.0001,-0.0001303434011257,0.014218172829273623
2018-01-31,-0.0056999999999999,-0.0031,0.0001,4e-05,108.7,-0.001563,-0.0350643586329338,-0.0001303434011257,-0.0056599999999999,-0.0054615357301375,-0.0053311923290118,-0.0029913004882379,9.64935641367066e-05,-0.0001303434011257,0.010536049278375037
2018-01-31,-0.0007,-0.0074,0.0011,5e-05,108.7,-0.001603,0.0,-0.000133681578753,-0.00065,-0.00065,-0.0005163184212469,-0.0074,0.0011,-0.000133681578753,0.010536049278375037
2018-02-28,-0.0007,-0.0074,0.0011,5e-05,107.08,-0.001603,-0.0149034038638454,-0.000133681578753,-0.00065,-0.0006403127874885,-0.0005066312087354,-0.0072897148114075,0.0010836062557497,-0.000133681578753,-0.037278597143435954
2018-02-28,-0.0111,-0.0042,-0.0031,6e-05,107.08,-0.00199,0.0,-0.0001659847797347,-0.01104,-0.01104,-0.0108740152202652,-0.0042,-0.0031,-0.0001659847797347,-0.037278597143435954
2018-03-31,-0.0111,-0.0042,-0.0031,6e-05,106.19,-0.00199,-0.0083115427717593,-0.0001659847797347,-0.01104,-0.0109482405677997,-0.010782255788065,-0.0041650915203586,-0.0030742342174075,-0.0001659847797347,-0.03632990464482155
2018-03-31,0.0141,-0.0031,-0.0022,6e-05,106.19,-0.000265,0.0,-2.2086015992406335e-05,0.0141599999999999,0.0141599999999999,0.0141820860159924,-0.0031,-0.0022,-2.2086015992406335e-05,-0.03632990464482155
2018-04-30,0.0141,-0.0031,-0.0022,6e-05,109.4,-0.000265,0.030228835106884,-2.2086015992406335e-05,0.0141599999999999,0.0145880403051134,0.0146101263211058,-0.0031937093888313,-0.0022665034372351,-2.2086015992406335e-05,0.04297534065067499
2018-04-30,-0.0081,0.0003,-0.0009,7.000000000000001e-05,109.4,-0.001488,0.0,-0.0001240846484833,-0.00803,-0.00803,-0.0079059153515166,0.0003,-0.0009,-0.0001240846484833,0.04297534065067499
2018-05-31,-0.0081,0.0003,-0.0009,7.000000000000001e-05,108.77,-0.001488,-0.0057586837294333,-0.0001240846484833,-0.00803,-0.0079837577696526,-0.0078596731211693,0.0002982723948811,-0.0008948171846435,-0.0001240846484833,-0.016756429738497003
2018-05-31,-0.0069999999999999,0.0007,-0.0043,6e-05,108.77,-0.0015409999999999,0.0,-0.0001285074556849,-0.0069399999999999,-0.0069399999999999,-0.006811492544315,0.0007,-0.0043,-0.0001285074556849,-0.016756429738497003
2018-06-30,-0.0069999999999999,0.0007,-0.0043,6e-05,110.64,-0.0015409999999999,0.0171922405074929,-0.0001285074556849,-0.0069399999999999,-0.007059314149122,-0.006930806693437,0.0007120345683552,-0.0043739266341822,-0.0001285074556849,-0.009476629938575343
2018-06-30,0.0006,-0.002,-0.0024,6e-05,110.64,-0.0014269999999999,0.0,-0.0001189945141037,0.00066,0.00066,0.0007789945141037,-0.002,-0.0024,-0.0001189945141037,-0.009476629938575343
2018-07-31,0.0006,-0.002,-0.0024,6e-05,111.4,-0.0014269999999999,0.0068691250903831,-0.0001189945141037,0.00066,0.0006645336225596,0.0007835281366634,-0.0020137382501807,-0.0024164859002169,-0.0001189945141037,0.012941333201123228
